path,file_type,line_count,imports,exports,referenced_by,references,purpose,status,cleanup_action
data/raw/edgar/llm_extract_0000928054_0000928054-23-000091.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-18-000048.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-24-000105.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0002040266-25-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-17-000127.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001658566_0001658566-25-000092.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-25-000135.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-19-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001866175_0001866175-24-000015.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-20-000034.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-23-000051.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-18-000076.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001509589_0001509589-22-000131.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-20-000124.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-23-000022.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-18-000014.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-19-000039.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001564590-21-006570.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0001358071.json,json,176047,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-14-000010.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-20-000059.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0001866175.json,json,64538,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-14-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0000928054.json,json,263272,,,,,General component,KEEP,none
data/raw/edgar/facts_0001509589.json,json,169912,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-20-000101.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-25-000218.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-16-000152.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-23-000064.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-21-000189.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-24-000136.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-25-000040.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0000950170-25-098401.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/sub_0000858470.json,json,16248,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-16-000258.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001564590-20-023338.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-23-000203.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-17-000065.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-15-000017.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-20-000040.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001564590-20-034916.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-25-000113.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000858470_0000858470-25-000075.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-18-000105.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001564590-22-019143.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001509589_0001509589-25-000016.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-17-000074.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001792580_0001193125-25-264977.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-16-000026.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000858470_0000858470-23-000028.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-23-000195.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-21-000121.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-24-000009.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001658566_0001658566-24-000080.json,json,21,,,,,General component,KEEP,none
